AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19130,CAJIBÍO,N,19130006,LA CAPILLA,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15047,AQUITANIA,N,0,HATO LAGUNA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47318,GUAMAL,N,47318014,BELLAVISTA,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13006,ACHÍ,N,13006019,PAYANDÉ,N,N,N,N,N,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,5,ANTIOQUIA,5631,SABANETA,N,5631009,LA DOCTORA,N,N,N,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,50,META,50350,LA MACARENA,N,50350014,PLAYA RICA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52390,LA TOLA,S,52390001,LA TOLA,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47605,REMOLINO,N,47605006,EL SALAO,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5079,BARBOSA,N,5079019,EL SALADITO,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27099,BOJAYA,N,27099008,PUERTO CONTÓ,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23675,SAN BERNARDO DEL VIENTO,N,23675005,PLAYAS DEL VIENTO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20383,LA GLORIA,N,20383010,LA MATA,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,66001,PEREIRA,N,66001075,LA CARBONERA,S,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73585,PURIFICACIÓN,N,73585001,CHENCHE ASOLEADO,S,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15491,NOBSA,N,15491004,PUNTA LARGA,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25488,NILO,N,25488002,PUEBLO NUEVO,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,44,LA GUAJIRA,44001,RIOHACHA,N,44001016,TOMARRAZÓN,N,N,N,N,N,N
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,73,TOLIMA,73319,GUAMO,S,73319001,GUAMO,N,N,N,N,S,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,68081,BARRANCABERMEJA,N,68081010,LA FORTUNA,S,N,N,N,N,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76130,CANDELARIA,N,76130012,SAN JOAQUÍN,N,S,N,N,N,N
2020,3,COLOMBIA MOVIL  S.A ESP,23,CÓRDOBA,23672,SAN ANTERO,N,23672001,EL PORVENIR,S,S,S,N,S,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,44,LA GUAJIRA,44035,ALBANIA,N,0,CUESTECITAS,S,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13160,CANTAGALLO,N,13160022,LA PEÑA,N,N,N,N,N,N
2020,1,AVANTEL S.A.S,5,ANTIOQUIA,5042,SANTAFÉ DE ANTIOQUIA,S,5042001,SANTAFÉ DE ANTIOQUIA,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19698,SANTANDER DE QUILICHAO,N,19698022,LLANO DE ALEGRÍAS,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47980,ZONA BANANERA,N,47980005,PALOMAR,S,N,N,N,N,N
2020,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,66,RISARALDA,66075,BALBOA,S,66075001,BALBOA,N,S,S,N,N,N
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,23,CÓRDOBA,23079,BUENAVISTA,S,23079001,BUENAVISTA,N,N,N,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76001,CALI,N,76001029,LA VORÁGINE,S,S,S,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76109,BUENAVENTURA,N,76109009,CÓRDOBA,S,S,S,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13433,MAHATES,S,13433001,MAHATES,S,S,S,N,S,N
